Timestamp,"Do you study in public spaces? e.g. library, park, train",Do you genuinely go to public spaces to study or do you just muck around?,Where?,How often?,Do you go with friends?,Do you get more work done than if you studied at home?,Do you study better if the place is less crowded?,How long do you study for at that space? (pick the closest one),Why not?,How close do you live to a public space?
8/4/2025 10:55:30,Yes,I muck around :(,"Train, School",2,Yes,I do the same amount,Crowdedness makes me do less work,10 mins,,8
8/4/2025 10:57:34,Yes,I do work :),"Library, Park, School",4,No,I do the same amount,It doesnt change anything,2 hours,,1
8/4/2025 10:58:24,No,,,,,,,,Feels better and less distracting when in private.,9
8/4/2025 10:58:49,No,,,,,,,,Makes my study less productive due to too many distractions,10
8/4/2025 10:59:08,Yes,I do work :),"Train, School",3,No,I do the same amount,Crowdedness makes me do less work,1 hour,,9
8/4/2025 11:00:10,Yes,I do work :),"Library, School, cafe",1,Yes,I do the same amount,Crowdedness makes me do less work,2 hours,,1
8/4/2025 11:03:16,No,,,,,,,,I prefer to stay at home,10
8/4/2025 11:07:36,No,,,,,,,,Im focused more at home,7
8/4/2025 11:09:41,Yes,I do work :),"Library, Park, School",5,Yes,I do the same amount,It doesnt change anything,30 mins,,10
8/4/2025 11:37:02,No,,,,,,,,Scary.,6
8/4/2025 11:37:57,Yes,I do work :),"Library, Train, School",5,Yes,No,Crowdedness makes me do less work,2 hours,,1
8/4/2025 11:38:10,No,,,,,,,,Because I study at school like you're supposed too,8
8/4/2025 11:39:29,Yes,I do work :),"Train, School",5,No,I do the same amount,It doesnt change anything,30 mins,,1
8/4/2025 11:42:31,No,,,,,,,,because its too loud,8
8/4/2025 11:43:04,No,,,,,,,,I focus better when I'm studying in private.,1
8/4/2025 11:45:09,No,,,,,,,,Because it is loud and inconvenient,10
8/4/2025 11:51:17,Yes,I muck around :(,Little Saint James,10,Yes,No,Crowdedness makes me do more work,2 hours,,1
8/4/2025 11:51:20,Yes,I do work :),Library,4,Yes,No,Crowdedness makes me do less work,30 mins,,10
8/4/2025 11:52:15,Yes,I do work :),"Library, Train, School",4,Yes,No,It doesnt change anything,2 hours,,8
8/4/2025 11:58:15,Yes,I muck around :(,"Library, Train",1,Yes,No,Crowdedness makes me do less work,30 mins,,4
8/4/2025 12:00:34,Yes,I do work :),"Library, Train, School",7,No,Yes,Crowdedness makes me do less work,1 hour,,10
8/4/2025 12:03:12,Yes,I muck around :(,"Library, Train, School",3,Yes,Yes,Crowdedness makes me do less work,More,,9
8/4/2025 12:08:51,Yes,I do work :),Library,4,Yes,Yes,It doesnt change anything,2 hours,,4
8/4/2025 12:09:29,Yes,I do work :),"Library, Train, School",7,Yes,Yes,Crowdedness makes me do less work,1 hour,,7
8/4/2025 12:11:33,Yes,I do work :),"Library, School",4,No,I do the same amount,Crowdedness makes me do more work,More,,6
8/4/2025 12:13:39,Yes,I muck around :(,Library,1,Yes,Yes,It doesnt change anything,1 hour,,6
8/4/2025 12:14:29,Yes,I do work :),"Library, Train, School",2,No,Yes,It doesnt change anything,More,,3
8/4/2025 12:22:39,Yes,I muck around :(,"Library, Park, Train, School",7,Yes,I do the same amount,Crowdedness makes me do less work,1 hour,,9
8/4/2025 12:24:12,Yes,I do work :),"Library, School, Cafe",8,Yes,I do the same amount,It doesnt change anything,More,,1
8/4/2025 12:48:34,No,,,,,,,,I hate people,9
8/4/2025 12:50:44,No,,,,,,,,Because I would rather study at home.,4
8/4/2025 12:52:44,No,,,,,,,,Not typically quiet enough,2
8/4/2025 13:01:50,Yes,I do work :),"Library, School",7,Yes,No,Crowdedness makes me do less work,1 hour,,1
8/4/2025 13:12:21,Yes,I do work :),"Library, Train",2,No,I do the same amount,Crowdedness makes me do more work,10 mins,,10
8/4/2025 13:23:21,No,,,,,,,,because its always better to study at home,5
8/4/2025 13:26:50,Yes,I do work :),"Train, School",3,No,I do the same amount,It doesnt change anything,30 mins,,1
8/4/2025 13:45:41,Yes,I do work :),Library,1,Yes,No,Crowdedness makes me do less work,More,,9
8/4/2025 13:51:40,Yes,I do work :),"Train, School",7,Yes,No,Crowdedness makes me do less work,30 mins,,6
8/4/2025 14:05:17,Yes,I do work :),"Library, Park, Train, School",10,Yes,Yes,It doesnt change anything,1 hour,,8
8/4/2025 14:22:25,Yes,I do work :),"Library, School",7,Yes,I do the same amount,It doesnt change anything,1 hour,,7
8/4/2025 14:23:32,Yes,I muck around :(,"Library, Train, School, Cafe",1,Yes,I do the same amount,Crowdedness makes me do less work,More,,1
8/4/2025 14:24:11,No,,,,,,,,I get distracted too easily,10
8/4/2025 14:30:13,No,,,,,,,,I am able to study at home.,6
8/4/2025 14:36:53,Yes,I muck around :(,Home,2,No,I do the same amount,It doesnt change anything,10 mins,,1
8/4/2025 14:41:22,No,,,,,,,,I prefer studying athome with my own desk ,10
8/4/2025 15:28:09,Yes,I muck around :(,"Train, School",5,Yes,No,Crowdedness makes me do less work,30 mins,,1
8/4/2025 15:47:28,Yes,I do work :),"Library, Park, Train, School",8,Yes,I do the same amount,Crowdedness makes me do less work,30 mins,,6
8/4/2025 15:57:11,Yes,I do work :),Train,1,No,No,It doesnt change anything,30 mins,,10
8/4/2025 17:18:37,Yes,I do work :),"Library, School",6,No,Yes,Crowdedness makes me do less work,2 hours,,3
8/4/2025 17:28:26,No,,,,,,,,I can just study at home,7
8/4/2025 17:47:40,Yes,I do work :),"Library, School, local cafes",7,No,Yes,It doesnt change anything,1 hour,,10
8/4/2025 19:08:58,Yes,I do work :),"Library, School",10,Yes,Yes,Crowdedness makes me do more work,1 hour,,10
8/4/2025 19:52:39,Yes,I do work :),School,10,No,Yes,It doesnt change anything,1 hour,,3
8/4/2025 21:00:08,Yes,I do work :),"Library, Train, School",7,Yes,I do the same amount,It doesnt change anything,1 hour,,8
8/4/2025 21:11:16,No,,,,,,,,It's just easier to study at home. I don't have to go out of the house to find somewhere to study ,10
8/4/2025 21:19:12,Yes,I do work :),"Library, School",2,No,Yes,Crowdedness makes me do less work,2 hours,,4
8/4/2025 21:29:10,Yes,I do work :),Library,10,Yes,Yes,Crowdedness makes me do less work,1 hour,,1
8/4/2025 21:53:30,No,,,,,,,,,10
8/4/2025 21:54:02,Yes,I muck around :(,Train,1,Yes,No,Crowdedness makes me do less work,2 hours,,10
8/5/2025 7:25:56,Yes,I do work :),"Library, School",3,No,Yes,Crowdedness makes me do more work,1 hour,,1
8/5/2025 9:05:31,Yes,I do work :),"Library, Train, cafes",10,Yes,No,It doesnt change anything,More,,5
8/5/2025 9:06:18,No,,,,,,,,Focus better when it's quiet,10
8/5/2025 9:07:40,Yes,I muck around :(,Library,1,Yes,Yes,It doesnt change anything,10 mins,,10
8/5/2025 9:09:36,Yes,I do work :),Library,8,Yes,Yes,Crowdedness makes me do more work,2 hours,,8
8/5/2025 9:10:25,No,,,,,,,,I study at home,9
8/5/2025 9:11:15,Yes,I do work :),"Library, School",6,No,Yes,Crowdedness makes me do more work,1 hour,,8
8/5/2025 9:42:10,Yes,I do work :),"Library, Park, Train, School",5,No,I do the same amount,Crowdedness makes me do less work,1 hour,,8
8/5/2025 9:44:59,Yes,I muck around :(,"Library, Park, Train, School, idk like  friends   houses/mall literally wherever i need to lock in.  but  heavy  on library.  i <3 the library.",4,No,Yes,Crowdedness makes me do less work,1 hour,,6
8/5/2025 10:00:46,Yes,I do work :),"Library, Train, School",7,Yes,I do the same amount,Crowdedness makes me do less work,More,,7
8/5/2025 10:02:11,Yes,I do work :),"Library, School",5,Yes,I do the same amount,It doesnt change anything,More,,1
8/5/2025 11:43:53,Yes,I do work :),Library,6,Yes,Yes,Crowdedness makes me do more work,More,,7
8/5/2025 11:47:08,Yes,I muck around :(,"Library, Train, School",4,Yes,Yes,Crowdedness makes me do less work,1 hour,,3
8/5/2025 12:26:47,Yes,I muck around :(,"Library, Train, School",7,Yes,Yes,It doesnt change anything,1 hour,,5
8/5/2025 16:10:48,No,,,,,,,,Not a easy / effective way to setup - basically I need a desk I can leave my stuff all over,1
8/5/2025 17:31:47,No,,,,,,,,I always forget that they are available and I'm also not sure where some quiet spaces would be,10
8/5/2025 17:46:17,Yes,I do work :),"Library, Train, School",7,Yes,No,Crowdedness makes me do less work,More,,8
8/6/2025 7:41:38,No,,,,,,,,I prefer studying at home because I can focus better,1
8/6/2025 9:08:09,No,,,,,,,,I'd rather do it alone where there's less distractions,10
8/6/2025 9:09:02,No,,,,,,,,i cant focus,8
8/6/2025 19:07:30,No,,,,,,,,"I don's have the time to go to public places, and it is easier and quieter at home.",7
8/7/2025 13:23:27,No,,,,,,,,i get distracted when i cant control the environment,8
8/7/2025 19:55:43,No,,,,,,,,,10
8/8/2025 22:03:17,Yes,I do work :),"Library, School",2,Yes,I do the same amount,Crowdedness makes me do more work,2 hours,,6
8/9/2025 19:28:31,No,,,,,,,,"too loud, sometimes embarassing if someone sees u ",8
8/11/2025 9:13:44,No,,,,,,,,I tend to focus better in the comfort of my own bedroom.,4
